id,sura,aya,translation,7_cluster_2_dim,7_cluster_1000_dim,7_cluster_2899_dim,15_cluster_2_dim,15_cluster_1000_dim,15_cluster_2899_dim,21_cluster_2_dim,21_cluster_1000_dim,21_cluster_2899_dim
1,1,1,Dengan nama Allah Yang Maha Pengasih Maha Penyayang,4,0,0,4,0,0,15,0,0
2,1,2,Segala puji bagi Allah Tuhan seluruh alam,2,0,0,9,0,0,16,0,0
3,1,3,Yang Maha Pengasih Maha Penyayang,4,0,0,4,7,7,15,7,7
4,1,4,Pemilik hari pembalasan,0,0,0,10,11,11,10,11,11
5,1,5,Hanya kepada Engkaulah kami menyembah dan hanya kepada Engkaulah kami mohon pertolongan,6,0,0,6,0,0,1,0,0
6,1,6,Tunjukilah kami jalan yang lurus,6,0,0,6,0,0,6,0,0
7,1,7,yaitu jalan orangorang yang telah Engkau beri nikmat kepadanya bukan jalan mereka yang dimurkai dan bukan pula jalan mereka yang sesat,0,0,0,7,0,0,18,0,0
8,2,1,Alif Lm Mm,3,0,0,3,8,8,3,8,8
9,2,2,Kitab AlQuran ini tidak ada keraguan padanya petunjuk bagi mereka yang bertakwa,0,0,0,10,0,0,10,18,0
10,2,3,Yaitu mereka yang beriman kepada yang gaib melaksanakan salat dan menginfakkan sebagian rezeki yang Kami berikan kepada mereka,0,0,0,0,0,0,17,0,0
11,2,4,dan mereka beriman kepada AlQuran yang diturunkan kepadamu Muhammad dan kitabkitab yang telah diturunkan sebelum engkau dan mereka yakin akan adanya akhirat,0,0,0,10,0,0,10,18,0
12,2,5,Merekalah yang mendapat petunjuk dari Tuhannya dan mereka itulah orangorang yang beruntung,2,0,0,9,0,0,9,0,0
13,2,6,Sesungguhnya orangorang kafir sama saja bagi mereka engkau Muhammad beri peringatan atau tidak engkau beri peringatan mereka tidak akan beriman,3,0,0,3,0,0,18,0,0
14,2,7,Allah telah mengunci hati dan pendengaran mereka penglihatan mereka telah tertutup dan mereka akan mendapat azab yang berat,6,0,0,6,0,0,6,0,0
15,2,8,Dan di antara manusia ada yang berkata Kami beriman kepada Allah dan hari akhir padahal sesungguhnya mereka itu bukanlah orangorang yang beriman,4,0,0,4,0,0,19,18,0
16,2,9,Mereka menipu Allah dan orangorang yang beriman padahal mereka hanyalah menipu diri sendiri tanpa mereka sadari,6,0,0,13,0,0,13,0,0
17,2,10,Dalam hati mereka terdapat penyakit lalu Allah menambah penyakitnya itu dan mereka mendapat azab yang pedih karena mereka berdusta,0,0,0,7,0,0,18,0,0
18,2,11,Dan apabila dikatakan kepada mereka Janganlah berbuat kerusakan di bumi Mereka menjawab Sesungguhnya kami justru orangorang yang melakukan perbaikan,6,0,0,6,0,0,0,0,0
19,2,12,Ingatlah sesungguhnya merekalah yang berbuat kerusakan tetapi mereka tidak menyadari,0,0,0,7,0,0,0,0,0
